page_id,url,is_seed,is_spam,text
0,https://www.site.com/p/0,0,0,word276 word102 word159 word204 word191 word224 word264 word231 word61 word126 word115 word32 word173 word10 word283 word117 word112 word3 word36 word30 word117 word34 word16 word169 word36 word263 word121 word142 word248 word109 https://www.site.com/p/17 word276 word67 word292 word295 word242 word124 word242 word208 word97 word48 word49 word220 word181 word216 word210 word239 word27 word50 word31 word206 https://www.site.com/p/172 word173 word55 word127 word98 word97 word274 word229 word71 word216 word93 word142 word236 word127 word38 word226 word281 word50 word25 word276 word7 word47 word121 word85 word208 word248 word246 word109 word205 word30 word84 word194 word1 word199 word135 word232 word146 word216 word284 word249 word79 word97 word151 word111 word29 word296 word277 word31 word160 word29 word25 word299 word244 word257 word271 word80 word29 word260
1,https://www.site.com/p/1,0,0,word291 word126 word296 word20 https://www.site.com/p/105 word41 word214 word298 word289 word267 word161 word133 word104 word160 https://www.site.com/p/6 word122 word135 word202 word67 word153 word234 word161 https://www.site.com/p/6 word37 word4 word234 word288 word51 word37 word275 word109 word259 word135 word67 https://www.site.com/p/104 word178 word35 https://www.site.com/p/191 word125 word189 word145 word80 word224 word278 word154 word270 word4 word283 word153 https://www.site.com/p/28 word53 word68 word135 word59 word54 word283 word79 word139 word144 word107 https://www.site.com/p/188 word175 word104 word135 word258 word250 word128 word26 word47 word216 word141 word22 word1 word170 word66 word134 word82 word226 word282 word218 word287 word4 word57 word38 word76 word279 word18 word189 word298 word282 word75 word220 word65 https://www.site.com/p/45 word21 word157 word186 word20 word183 word107 word127 word52 word181
2,https://www.site.com/p/2,0,1,word102 word235 word179 word156 word116 word114 word12 word98 word204 word168 word142 word35 word142 word179 word260 word204 word274 word169 word14 word59 https://www.site.com/p/69 word133 word91 word297 word135 word19 word55 word222 word176 word160 word223 word261 word59 https://www.site.com/p/69 word197 word295 word97 word130 word22 word223 word0 word266 word275 word100 word186 word220 word35 word169 word160 word63 word153 word259 word158 word209 word167 word206 word151 word283 https://www.site.com/p/2 word65 https://www.site.com/p/69 word98 https://www.site.com/p/69 word215 word194 word89 word291 word154 word207 word280 word0 word155 word146 word107 word220 word296 word164 word238 word226 word226 word109 word261 word242 word86 word43 word145 word263 word171 word47 word120 word158 word115 word101 word75 word12 word23 https://www.site.com/p/69 word125 word243 https://www.site.com/p/195 word37 word233 word212 word294 word99 word196 word253 word204 word124 word75 word2 word54 word217 word112 https://www.site.com/p/2 word90
3,https://www.site.com/p/3,0,1,word141 word266 word248 word122 word140 https://www.site.com/p/82 word225 word39 word146 word120 word139 word171 word163 word276 word41 word70 word77 word118 word196 word78 word109 word32 word212 word208 word169 word277 word238 word212 word31 word105 word215 word199 word299 word10 word294 word194 word244 word3 word180 word152 word199 word214 word275 word279 https://www.site.com/p/165 word112 word249 word112 word139 word223 word248 word14 word199 word172 https://www.site.com/p/3 word207 word84 word239 word65 word273 word13 word201 word288 word13 word42 word219 word69 word236 word93 https://www.site.com/p/153 word25 word133 word194 word167 word108 word232 word167 word172 word194 word142 word215 word129 word41 word240 word9 word276 word26 word179 word114 word35 word20 word15 word126 word102 word10 word78 word122 word64 word242 word58 word288 word111 word238 word131 https://www.site.com/p/82 word188 word85 word58 word83 word159 word55 word296 word13 word159 word294 word192
4,https://www.site.com/p/4,0,0,word35 word259 word174 word6 word215 word250 word54 word221 word185 word235 word78 word222 word90 word267 word138 word275 word247 word238 word223 word137 word165 word125 word44 word142 word230 word124 word237 word291 word194 word172 word14 word253 word166 word93 word249 word108 word181 word132 word174 word143 word141 word284 word5 word264 word97 word43 word123 word208 word250 word284 word123 word243 word251 word229 word8 word47 word150 word113 word207 word124 word156 word297 word188 word242 word283 word271 word176 word217 word281 word169 word180 word232 word138 word156 word128 word118 https://www.site.com/p/158 word61 word98 word161 word61 word274 word94 word98 word110 word247 word141 word268 word144 word51 word99 word151 word116 word184 word91 word154 word7 word273 word64 word140 word23 word27 word283 word149 word64 word251 word52 word6 word293 https://www.site.com/p/189 word145 word240 word245 word225 word174 https://www.site.com/p/189 word94 word26 https://www.site.com/p/6 word129 word244 word58 word33 word205 word251 word37 word295 word27 word77 word76 word288
5,https://www.site.com/p/5,0,1,word291 word30 word50 word106 word108 word135 word41 word80 word122 word88 word282 word38 word80 word1 word209 word230 word240 word149 word16 word118 word147 word144 word232 word36 word119 word135 word101 word217 word58 word278 word115 word76 word136 word72 word36 word30 word84 word157 word291 word147 word224 word63 word239 word155 word206 word139 word256 word276 word252 word224 word41 word20 word221 word165 word128 word13 word46 word117 word294 word10 word137 word295 word20 word89 word240 word265 word226 word142 word92 word299 word223 word251 word46 word240 word178 word209 word170 word164 word53 word82 word168 word210 word253 word147 word205 word281 word18 word232 word45 word161 word129 word165 word59 word206 word263 word0 word277 word236 word211 word27 word96 word265 word185 word255 word226 word26 word104 https://www.site.com/p/5 word136 word281 word67 word147 word224 word248 word62 word14 https://www.site.com/p/132 word122 word81 word159 word282
6,https://www.site.com/p/6,1,0,word236 word60 word78 word255 word149 word260 word139 word212 word247 word241 word124 word233 word282 word74 word196 word97 word260 word69 word35 word141 word212 word174 word259 word136 word1 word144 word152 word296 word250 word76 word228 word275 word247 word176 word170 word282 word278 word193 word233 word164 word96 word122 word292 word196 word119 word210 word22 word162 https://www.site.com/p/189 word242 word195 word197 word77 word253 word18 word64 word257 word169 word51 word225 word51 word269 word233 word7 word73 word209 word79 word38 word240 word135 word173 word203 word41 word168 word273 word194 word162 word249 word277 https://www.site.com/p/46 https://www.site.com/p/110 word18 word35 word120 word147 word116 word46 https://www.site.com/p/35 word222 word50 word51 word227 word85 word153 word14 word23 word166 word28
7,https://www.site.com/p/7,0,0,word254 word298 word73 word118 word236 word130 word235 word130 word4 word238 word147 word279 word80 word37 word226 word176 word153 word217 word128 word233 word154 word101 word196 word247 word54 word121 word195 word292 word183 word294 word151 word151 word11 word202 word140 word4 word289 word25 word254 word146 word117 word180 word112 word97 word128 word70 word49 word20 word158 word225 word17 word296 word186 https://www.site.com/p/190 word67 word46 word151 word167 word212 word89 word102 word67 word276 word187 word271 word256 word139 word84 word131 word246 https://www.site.com/p/94 word151 word173 word58 word239 word38 word72 word115 word203 word285 word187 word46 word202 word7 word135 word274 word63 word232 word188 word134 word299 https://www.site.com/p/34 word195 word190 word55 word119 word241 word12 word287 word167 word113 word32 word237 word154 word209 word59 word71 word23 word19 word155 word252 word59 word49
8,https://www.site.com/p/8,0,0,word79 word212 word50 word250 word208 word143 word16 https://www.site.com/p/57 word189 word111 word227 word227 word120 word185 word50 word188 word278 word183 https://www.site.com/p/142 word31 word203 word141 word97 https://www.site.com/p/79 word62 word232 word46 word108 word10 word25 word170 word124 word64 word289 word105 word35 word283 word106 https://www.site.com/p/57 word110 word119 word168 word75 word1 word141 word74 word66 word276 word128 word89 word56 word13 word67 word7 word183 https://www.site.com/p/70 word121 word165 word8 word89 word135 word26 word64 word215 word269 word58 word32 word243 word229 word185 word262 word55 word231 word257 word113 word22 word266 word154 word234 word15 word31 word245 word205 word218 word55 word251 word227 word37 word41 word164 word75 word33 word64 word140 word299 word280 word166 word195 word271 word150 word232 word258 word220 word50 word58 word282 word110 https://www.site.com/p/157 word220 word231 word116 word211 word173 word232 word204 word212 word48 word160 word218 word160 word130 word191 word78 word242 word34 word46 word43 word47 word221 word49 word190 word66 word284 word30 word287 word287 https://www.site.com/p/89 word168 word62 word210 word181 word216 word26 word147 word159 word180 word53 word295 word259 word108 word79 https://www.site.com/p/196 word246 word114 word55 word179 word284 word188 word58 word142 word293 word115 word219
9,https://www.site.com/p/9,0,0,word214 word232 word174 word80 word189 word159 word166 word290 word43 word26 https://www.site.com/p/14 word79 word80 word25 word41 word139 word226 word217 word248 word226 word212 word139 word110 word262 word58 word176 word220 word56 word145 word249 word269 word157 word23 word112 word202 word28 word3 word104 word154 word108 word70 word130 word148 word167 word61 word3 word254 word220 https://www.site.com/p/35 word89 word66 word194 word272 word117 word256 word286 word181 word36 word203 word21 word223 word9 word235 word39 word160 word294 word219 word293 word207 word213 word148 word58 word207 word10 word166 word87 word235 word185 word45 word223 word54 word124 https://www.site.com/p/129 word223 word205 word268 word40 word202 word158 word173 word113 word170 word86 word39 word261 word58 word271 word261 word99 word178 word179 word75 word120 word52 word74 word131 word101 word88 word78 word38 word90 word252 word237 word288 word296 word229 word289 https://www.site.com/p/73 word165 word161 word77 https://www.site.com/p/148 word225 word34 word240 word226 word155 word140 word28 word180 word259 word37 word158
